# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    4.622    0.363    2.244    4.310    0.727    2.574      3.600     11.780      4.650     12.380
    0.024    0.510    0.769    5.996    0.560    0.363      3.600     25.290      6.300     22.520
    5.996    0.560    0.363    2.651    0.482    4.296      3.600     25.290      4.350     27.630
    3.977    0.899    2.342    5.797    0.931    0.936      3.600     41.220      3.600     41.400
    1.733    0.342    4.209    3.166    0.363    3.386      3.600     41.740      3.600     41.920
    5.797    0.931    0.936    0.910    0.945    5.812      3.750     41.140      4.200     41.400
    1.733    0.342    4.209    5.797    0.931    0.936      3.750     41.480      4.050     41.480
    4.971    0.440    1.961    2.069    0.404    3.873      4.050      7.190      4.800      7.970
    2.069    0.404    3.873    0.887    0.827    4.979      4.050      7.190      4.950      6.670
    4.974    0.599    1.115    4.959    0.611    1.007      4.050     13.940      4.050     14.640
    4.974    0.599    1.115    4.310    0.727    2.574      4.050     13.940      4.800     13.340
    4.974    0.599    1.115    5.609    0.579    1.449      4.050     14.640      5.250     15.160
    4.727    0.756    1.388    2.850    0.796    3.403      4.050     30.570      4.200     30.830
    2.850    0.796    3.403    3.837    0.428    2.869      4.050     30.570      5.250     29.190
    1.054    0.546    5.960    1.949    0.823    3.705      4.050     38.540      4.950     38.020
    1.949    0.823    3.705    5.139    0.913    0.721      4.050     38.540      4.200     39.320
    0.311    0.707    5.531    5.792    0.546    0.852      4.200     10.050      4.200     10.220
    0.311    0.707    5.531    4.870    0.575    1.979      4.200     10.050      5.250      9.440
    1.290    0.753    4.728    0.311    0.707    5.531      4.200     10.570      4.200     10.740
    4.727    0.756    1.388    2.626    0.402    3.343      4.200     30.830      4.350     32.820
    2.626    0.402    3.343    2.850    0.796    3.403      4.200     30.830      5.400     30.830
    4.727    0.756    1.388    2.962    0.759    2.975      4.200     33.600      4.350     32.820
    2.962    0.759    2.975    1.054    0.546    5.960      4.200     33.600      6.300     34.990
    1.949    0.823    3.705    0.910    0.945    5.812      4.200     39.320      5.400     39.660
    1.733    0.342    4.209    0.910    0.945    5.812      4.200     41.740      4.200     41.920
    0.311    0.707    5.531    4.622    0.363    2.244      4.350     11.000      5.250     11.860
    5.996    0.560    0.363    3.837    0.428    2.869      4.350     27.630      5.250     29.190
    2.626    0.402    3.343    2.962    0.759    2.975      4.350     32.820      5.400     30.830
    1.724    0.683    5.244    3.228    0.182    3.385      4.650      2.510      4.800      5.020
